timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700108239385,13335,HTTP Request,200,OK,Thread Group 1-14,text,true,,129630,118,93,93,https://www.cricbuzz.com/,12732,0,12561
1700108243094,9627,HTTP Request,200,OK,Thread Group 1-88,text,true,,129618,118,93,93,https://www.cricbuzz.com/,9011,0,8819
1700108243244,9479,HTTP Request,200,OK,Thread Group 1-91,text,true,,129618,118,91,91,https://www.cricbuzz.com/,8851,0,8638
1700108241346,11197,HTTP Request,200,OK,Thread Group 1-53,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10731,0,10469
1700108243542,9000,HTTP Request,200,OK,Thread Group 1-97,text,true,,129630,118,100,100,https://www.cricbuzz.com/,8134,0,8017
1700108240300,12232,HTTP Request,200,OK,Thread Group 1-32,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11419,0,11325
1700108241846,10684,HTTP Request,200,OK,Thread Group 1-63,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10410,0,9728
1700108238970,13560,HTTP Request,200,OK,Thread Group 1-5,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12841,0,12744
1700108239798,12723,HTTP Request,200,OK,Thread Group 1-22,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12456,0,11781
1700108241595,10932,HTTP Request,200,OK,Thread Group 1-58,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10455,0,10227
1700108239337,13189,HTTP Request,200,OK,Thread Group 1-13,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12471,0,12390
1700108240602,11924,HTTP Request,200,OK,Thread Group 1-38,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11654,0,10964
1700108240750,11770,HTTP Request,200,OK,Thread Group 1-41,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11331,0,11056
1700108240097,12641,HTTP Request,200,OK,Thread Group 1-28,text,true,,129630,118,72,72,https://www.cricbuzz.com/,12027,0,11835
1700108239639,12881,HTTP Request,200,OK,Thread Group 1-19,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12428,0,12169
1700108239126,13327,HTTP Request,200,OK,Thread Group 1-9,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12559,0,12426
